,symbol1,symbol2,balance
9945,DGRW,ESGU,1.218348643726222
3299,SPLG,SCHA,1.2183430674441893
6394,VONG,IWY,1.2182568621076668
136,SPY,VTWO,1.2181942185667354
9025,XLP,IWF,1.2181817672594293
20,SPY,IWM,1.2181623003218378
7128,XLY,VONG,1.2181592288799574
5080,SCHG,XLK,1.2180712842695918
11510,GSLC,SPYG,1.2179199565694168
6721,USHY,VONG,1.217812290214365
11173,ESGU,IWF,1.217801443686271
9034,XLP,VO,1.2177410309042767
11210,ESGU,QQQM,1.217679348329089
1276,VIG,QQQM,1.2176513536409117
2894,IVW,IWY,1.2175435787645976
2904,SCHX,VUG,1.2175027757816304
30,SPY,QUAL,1.217460025625309
9069,XLP,SPYG,1.2174148886595513
2842,IVW,VONG,1.2174055712146938
2830,IVW,SCHG,1.217358000293956
1918,XLK,SPYG,1.217310150583521
3566,VT,AVUV,1.2172563193524417
9297,SLV,SCHG,1.2170912883183
7936,XLC,IWY,1.2167912554175542
11530,GSLC,IUSG,1.216789363452773
3464,VT,VUG,1.2167296440448423
11237,ESGU,IUSG,1.2166750722856468
348,IVV,VXF,1.21636424404276
7869,XLC,SCHG,1.2163280863212702
6559,SDY,SOXX,1.2160688907457347
12472,SPSM,SOXX,1.2160658318492858
119,SPY,ESGU,1.2158974840183798
7882,XLC,VONG,1.215881001377817
7075,XLY,VGT,1.2158532521450374
3876,VV,VONG,1.2158363827179723
11357,VOOG,IUSG,1.2158340227778233
11976,IWY,IWF,1.2157880002440227
9057,XLP,IWR,1.215704750304387
11469,GSLC,IWF,1.2156979270187553
3334,SPLG,IWN,1.2156309791622195
6276,VONG,VUG,1.2156118563450609
3405,SCHF,XLE,1.215554148914557
2003,IWM,XLK,1.2154692990898208
9130,XLP,ESGU,1.2154177826080956
11618,NOBL,SMH,1.2153687208407957
11504,GSLC,QQQM,1.2152983260599686
8042,IYW,IWY,1.2152867805281296
9035,XLP,XLK,1.2152581348986622
7680,ACWI,SCHG,1.2151427954272305
9020,XLP,QQQ,1.215058760978019
7746,ACWI,FTEC,1.2150418484656946
3309,SPLG,IWP,1.2149983811578686
2909,SCHX,IWF,1.2149854593934521
3330,SPLG,ESGU,1.2149428995992206
9131,XLP,VOOG,1.2147914130054898
482,VTI,MGK,1.2146630908743072
6511,SDY,SMH,1.214559774390239
264,VOO,IWO,1.2145584286502298
1052,IWF,VGT,1.2145220038146842
7187,XLY,IWY,1.2145117361162039
10823,OEF,SCHG,1.2144773765264403
2212,RSP,SOXX,1.2143071506232272
5077,SCHG,VGT,1.214192800462762
729,VUG,QQQM,1.2141372923398364
396,IVV,ESGU,1.2140125390152954
1253,VIG,IWF,1.21397890622802
9088,XLP,XLY,1.2134634895657113
11915,FTEC,MGK,1.2134581623249607
12045,IWY,IUSG,1.2134277960666582
2840,IVW,MGK,1.2132623934583264
2382,ITOT,AVUV,1.213148485086715
5205,SCHB,VGT,1.2130601415112678
3513,VT,SPYG,1.2129970001190653
391,IVV,AVUV,1.2129252366930319
3997,IXUS,GBTC,1.2128483427580055
3470,VT,IWF,1.2127730298402355
1456,IJR,FTEC,1.2127386097874235
1250,VIG,VUG,1.2126297817677798
2955,SCHX,SPYG,1.2125261347950733
7249,IUSG,VV,1.2125218777286053
5384,VGIT,SLV,1.2124956256100505
98,SPY,IWP,1.2124937935602724
11930,FTEC,XLC,1.2124446010791305
7126,XLY,MGK,1.2124148458632888
9323,SLV,IYW,1.2123633643898544
9089,XLP,IUSG,1.2123103799408843
9062,XLP,XLE,1.212149161845235
11997,IWY,IVW,1.2120708278336239
293,IVV,IWM,1.2120636373288822
1156,IWF,IWY,1.2120149484257488
9903,DGRW,XLY,1.211995986534918
413,IVV,VTWO,1.211883350951465
5479,SPYG,IUSG,1.2118120057429522
11167,ESGU,QQQ,1.2118099690186646
3237,SPLG,VB,1.2117705304878532
9294,SLV,QQQM,1.211720701158601
7993,IYW,VONG,1.2116737934384572
11331,VOOG,QQQM,1.2116356916102717
3874,VV,MGK,1.2115988816233763
303,IVV,QUAL,1.2114089901546585
1322,VIG,AVUV,1.211404665819233
10836,OEF,VONG,1.2113674796100844
1085,IWF,SCHG,1.2113663499545246
11316,VOOG,IVW,1.2113638683609327
1659,VGT,VUG,1.2111997600238487
6100,MGK,VUG,1.2111737738413162
2197,RSP,GBTC,1.2111163255723176
9894,DGRW,MDY,1.2110977051200915
7747,ACWI,IWY,1.2106007170197033
1249,VIG,QQQ,1.210468014930629
9045,XLP,IVW,1.2103105464721498
7240,IUSG,SCHX,1.2102825650565359
472,VTI,SPYG,1.2102482547582725
13,SPY,IJR,1.2101059899586863
7880,XLC,MGK,1.2099569003447657
692,VUG,QQQ,1.2099037069841545
11906,FTEC,SCHG,1.209791691580782
3243,SPLG,QUAL,1.2097868712975286
9102,XLP,VOE,1.2096980169570637
11462,GSLC,QQQ,1.209633814896399
7651,ACWI,XLK,1.2095685125013638
3224,SPLG,IJH,1.20949145509896
5123,SCHG,VONG,1.2094906589352616
358,IVV,XLC,1.2094824428277753
6667,USHY,VUG,1.2094196542861273
