Date,WILL5000PRFC,GDP,BuffetIndicator
2023-05-19,41325.0703125,27453.815,1.505257841669728
2023-05-22,41397.51171875,27453.815,1.507896506141314
2023-05-23,40949.8515625,27453.815,1.4915905699262562
2023-05-24,40643.80859375,27453.815,1.4804430128836374
2023-05-25,40899.828125,27453.815,1.489768475710935
2023-05-26,41437.26171875,27453.815,1.509344392345836
2023-05-30,41446.58984375,27453.815,1.5096841675282653
2023-05-31,42053.1796875,27453.815,1.5317790874419457
2023-06-01,42053.1796875,27453.815,1.5317790874419457
2023-06-02,43181.5390625,27453.815,1.5728793634873697
2023-06-05,43059.03125,27453.815,1.5684170396719
2023-06-06,43264.2109375,27453.815,1.5758906708411928
2023-06-07,43166.4609375,27453.815,1.5723301456464247
2023-06-08,43392.25,27453.815,1.580554469387952
2023-06-09,43402.26171875,27453.815,1.5809191443429629
2023-06-12,43800.26953125,27453.815,1.595416503362101
2023-06-13,44134.46875,27453.815,1.6075896464662562
2023-06-14,44122.05078125,27453.815,1.607137324311758
2023-06-15,44656.48828125,27453.815,1.6266041088005438
2023-06-16,44473.359375,27453.815,1.6199336731525291
2023-06-20,44253.05078125,27453.815,1.6119089744448996
2023-06-21,44021.19140625,27453.815,1.6034635407228468
2023-06-22,44130.69921875,27453.815,1.60745234200602
2023-06-23,43765.80859375,27453.815,1.594161270255154
2023-06-26,43611.609375,27453.815,1.5885445929827968
2023-06-27,44144.44140625,27453.815,1.6079528985771194
2023-06-28,44164.25,27453.815,1.6086744228443297
2023-06-29,44379.3515625,27453.815,1.616509456427094
2023-06-30,44883.609375,27453.815,1.634876951527502
2023-07-03,44955.83984375,27967.697,1.60742015489334
2023-07-05,44826.4296875,27967.697,1.6027930253785287
2023-07-06,44424.12890625,27967.697,1.5884085452674204
2023-07-07,44374.7109375,27967.697,1.5866415793012918
2023-07-10,44555.05859375,27967.697,1.5930900064367115
2023-07-11,44901.7890625,27967.697,1.6054875402325761
2023-07-12,45233.6015625,27967.697,1.6173516740581106
2023-07-13,45634.23828125,27967.697,1.6316766547224106
2023-07-14,45530.3203125,27967.697,1.6279610120382813
2023-07-17,45742.98046875,27967.697,1.6355647899342587
2023-07-18,46088.109375,27967.697,1.647905059004322
2023-07-19,46214.98828125,27967.697,1.6524416823183545
2023-07-20,45875.640625,27967.697,1.640308124941428
2023-07-21,45873.44140625,27967.697,1.6402294906959982
2023-07-24,46032.23046875,27967.697,1.645907078754107
