symbol,maxBalance,signal,wrSl,profitPerDay,maxLimit,maxSlLimit,wr
XPRO,1.3065133270165428,0,0.8,0.04838938248209418,-1.8955,0.81,1.0
VSAT,1.3063298830727115,0,0.5833333333333334,0.046654638681168266,-1.883,0.78,1.0
CMDT,1.306325536010524,0,0.5789473684210527,0.01209560681491226,0.90599,0.06,1.0
MKFG,1.3062637061282358,0,0.5,0.046652275218865565,-1.883,1.9,0.5
4441,1.3061802427217104,0,0.5,0.043539341424057014,-1.79351,128.0,0.5
MHLA,1.305993863831056,0,0.5384615384615384,0.019492445728821733,-1.11042,0.22,0.6666666666666666
LESL,1.3059065966521088,0,0.3,0.045031261953520994,-1.87268,0.18,1.0
IPPP,1.305579391216791,0,0.47368421052631576,0.015006659669158517,-0.85588,0.03,0.3333333333333333
9672,1.305555878741307,0,0.5384615384615384,0.018650798267732957,-1.06619,80.0,0.5
BTOP,1.3053791494107856,0,0.5,0.10878159578423213,-0.53418,0.03,1.0
POR,1.305056245476326,0,0.415929203539823,0.003461687653783358,-0.0642,0.37,0.5
ASPA,1.3050078362528295,0,0.5,0.007721939859484198,-0.62976,0.14,1.0
PRPO,1.3049814343175836,0,0.8,0.06214197306274208,-1.97073,1.4,1.0
8079,1.3049739384827728,0,0.23684210526315788,0.009189957313258963,-0.75607,5.0,0.7
DARP,1.3049080509577697,0,1.0,0.04660385896277749,-1.883,1.72,1.0
ATAI,1.3046852812987404,0,1.0,0.06523426406493701,-1.9848,1.76,1.0
AVSE,1.3046108640783425,0,0.43333333333333335,0.017394811521044565,-0.8014,0.2,0.5
LABP,1.3045035399967095,0,1.0,0.14494483777741218,-2.07548,1.55,1.0
VIGI,1.3037884782300615,0,0.56,0.0089916446774487,-0.78061,1.52,0.75
EPAC,1.30370853054021,0,0.9230769230769231,0.048285501131118895,-1.88959,0.24,1.0
6044,1.303673387744891,0,1.0,0.052146935509795635,-1.883,180.0,1.0
BNE,1.3031596448371,0,0.8571428571428571,0.04343865482790333,-1.87182,0.31,1.0
EQX,1.303156559062774,0,0.75,0.06205507424108448,-1.97073,0.39,1.0
DMAT,1.3031428966444778,0,0.6153846153846154,0.04654081773730278,-1.883,0.05,1.0
MFIC,1.3030776533286215,0,0.4852941176470588,0.008986742436749113,-0.78061,0.16,1.0
6888,1.3028182014395675,0,0.5416666666666666,0.01861168859199382,-1.06619,5.0,0.75
IXG,1.3027570946198281,0,0.52,0.008984531687033297,-0.78061,1.76,0.75
OCUP,1.3026706277639222,0,0,0.21711177129398704,-2.14824,1.88,0
ENER,1.3025447178445468,0,0.625,0.0027713717400947805,1.19005,0.04,1.0
JPUS,1.3023595640309205,0,0.45901639344262296,0.00898179009676497,-0.78061,0.68,0.75
GAN,1.3023362859743848,0,0.8571428571428571,0.05919710390792658,-1.9672,0.39,0.6666666666666666
HUMA,1.3022825809836505,0,0.4444444444444444,0.04490629589598795,-1.87268,0.5,0.6666666666666666
