Symbol,Error,Time
6740,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:03.513650
6836,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column saimucf with type object')",2024-07-26 14:04:04.491244
6810,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:04.974529
6846,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucfmargin with type object')",2024-07-26 14:04:05.451797
9522,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:05.964161
9544,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column eigyoucfmargin with type object')",2024-07-26 14:04:06.143638
9542,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column eigyoucfmargin with type object')",2024-07-26 14:04:06.250923
9517,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:06.808405
9519,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:07.002922
9551,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:07.589481
9145,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:07.759934
5838,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:08.203117
9143,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:08.692413
7163,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:08.767648
9142,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:08.811731
9090,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:09.251901
9076,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column toushicf with type object')",2024-07-26 14:04:09.745216
2962,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:11.307367
5690,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:11.586108
5759,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:11.676348
3446,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:12.088446
3449,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:12.112512
3445,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:12.477480
5698,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:12.646963
5996,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucfmargin with type object')",2024-07-26 14:04:13.023930
7409,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:13.286628
